O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1,method,sim,delta,lam,rho
0.9,0.9148695,0.4444444444444447,0.5512423,3.307615406625317,3.140942,8.0,0.9,0.6923076923076923,0.7826086956521738,gnn,0,0.3,0.3,0.82
0.94,0.94364876,0.6666666666666664,0.7029496,2.4635481420222107,2.0390737,7.076923076923077,0.8125,1.0,0.896551724137931,random,0,0.3,0.3,0.82
0.92,0.9208639,0.5555555555555559,0.58284146,2.985336178273889,2.9068508,7.6923076923076925,0.9090909090909091,0.7692307692307693,0.8333333333333333,gnn,0,0.3,0.3,0.84
0.94,0.94988555,0.6666666666666664,0.73582625,2.501678765570601,1.9187108,7.0,0.8125,1.0,0.896551724137931,random,0,0.3,0.3,0.84
0.94,0.92257535,0.6666666666666664,0.5918631,2.393132043318083,2.6033776,7.6923076923076925,1.0,0.7692307692307693,0.8695652173913044,gnn,0,0.3,0.3,0.86
0.96,0.9520972,0.7777777777777777,0.7474847,2.044428947682255,1.937246,7.0,0.8666666666666667,1.0,0.9285714285714286,random,0,0.3,0.3,0.86
0.96,0.92856985,0.7777777777777777,0.62346256,2.3203292685491412,2.520632,7.461538461538462,1.0,0.8461538461538461,0.9166666666666666,gnn,0,0.3,0.3,0.88
0.96,0.95809615,0.7777777777777777,0.7791077,2.0112175485817994,1.8027645,7.0,0.8666666666666667,1.0,0.9285714285714286,random,0,0.3,0.3,0.88
0.96,0.9345687,0.7777777777777777,0.6550849,2.308570800049254,2.462206,7.461538461538462,1.0,0.8461538461538461,0.9166666666666666,gnn,0,0.3,0.3,0.9
0.98,0.94988203,0.8888888888888888,0.7358077,1.9485366756724287,1.8059943,7.0,0.9285714285714286,1.0,0.962962962962963,random,0,0.3,0.3,0.9
0.96,0.9366555,0.7777777777777777,0.6660854,1.6032262917931026,2.3092425,7.461538461538462,1.0,0.8461538461538461,0.9166666666666666,gnn,0,0.3,0.3,0.92
0.98,0.949891,0.8888888888888888,0.73585486,1.9487467331242223,1.8054969,7.0,0.9285714285714286,1.0,0.962962962962963,random,0,0.3,0.3,0.92
0.98,0.9449865,0.8888888888888888,0.7100015,1.4057232509258315,2.0134852,7.230769230769231,1.0,0.9230769230769231,0.9600000000000001,gnn,0,0.3,0.3,0.94
0.98,0.9558895,0.8888888888888888,0.76747566,1.9248936615713015,1.7226346,7.0,0.9285714285714286,1.0,0.962962962962963,random,0,0.3,0.3,0.94
0.98,0.95220876,0.8888888888888888,0.74807286,1.4835117929742203,1.7786747,7.230769230769231,1.0,0.9230769230769231,0.9600000000000001,gnn,0,0.3,0.3,0.96
0.98,0.9618881,0.8888888888888888,0.79909647,1.8993858558174332,1.6029168,7.0,0.9285714285714286,1.0,0.962962962962963,random,0,0.3,0.3,0.96
0.98,0.9582067,0.8888888888888888,0.7796905,1.2151006129031365,1.706864,7.230769230769231,1.0,0.9230769230769231,0.9600000000000001,gnn,0,0.3,0.3,0.98
0.98,0.9658337,0.8888888888888888,0.8198956,1.5418146259206709,1.3526982,7.0,0.9285714285714286,1.0,0.962962962962963,random,0,0.3,0.3,0.98
1.0,0.96420115,1.0,0.81128967,1.050273312851283,1.5872775,7.0,1.0,1.0,1.0,gnn,0,0.3,0.3,1.0
1.0,0.96420115,1.0,0.81128967,1.050273312851283,1.5872775,7.0,1.0,1.0,1.0,random,0,0.3,0.3,1.0
0.72,0.712025,-0.272727272727273,-0.3299498,16.89600484789202,18.608002,26.266666666666666,1.0,0.06666666666666667,0.125,gnn,1,0.3,0.3,0.02
0.72,0.6948782,-0.272727272727273,-0.40913838,17.886068058570878,20.227468,23.933333333333334,0.6666666666666666,0.13333333333333333,0.2222222222222222,random,1,0.3,0.3,0.02
0.74,0.7180443,-0.181818181818182,-0.302151,16.32543028729387,17.96651,23.533333333333335,1.0,0.13333333333333333,0.23529411764705882,gnn,1,0.3,0.3,0.04
0.74,0.7007994,-0.181818181818182,-0.3817927,16.674976351110903,18.944073,19.866666666666667,0.75,0.2,0.31578947368421056,random,1,0.3,0.3,0.04
0.74,0.7229854,-0.181818181818182,-0.27933156,16.649050491095444,17.391968,23.666666666666668,1.0,0.13333333333333333,0.23529411764705882,gnn,1,0.3,0.3,0.06
0.74,0.708477,-0.181818181818182,-0.3463353,16.44062238135143,18.55245,19.666666666666668,1.0,0.13333333333333333,0.23529411764705882,random,1,0.3,0.3,0.06
0.74,0.7237825,-0.181818181818182,-0.27565038,15.870375524660913,17.044867,23.733333333333334,1.0,0.13333333333333333,0.23529411764705882,gnn,1,0.3,0.3,0.08
0.72,0.7032489,-0.272727272727273,-0.37048015,14.691861223360736,17.938988,22.933333333333334,0.6,0.2,0.3,random,1,0.3,0.3,0.08
0.74,0.72612643,-0.181818181818182,-0.26482534,15.082746385093342,16.698874,21.266666666666666,1.0,0.13333333333333333,0.23529411764705882,gnn,1,0.3,0.3,0.1
0.74,0.7092474,-0.181818181818182,-0.34277743,13.316568362674879,16.593376,20.0,0.6666666666666666,0.26666666666666666,0.3809523809523809,random,1,0.3,0.3,0.1
0.76,0.7321257,-0.090909090909091,-0.23711903,14.705588686768888,16.273518,17.133333333333333,1.0,0.2,0.33333333333333337,gnn,1,0.3,0.3,0.12
0.72,0.7183461,-0.272727272727273,-0.30075702,14.196508044821572,15.414711,18.8,0.5714285714285714,0.26666666666666666,0.36363636363636365,random,1,0.3,0.3,0.12
0.76,0.7353917,-0.090909090909091,-0.22203584,14.62406001115071,16.181505,18.2,1.0,0.2,0.33333333333333337,gnn,1,0.3,0.3,0.14
0.72,0.7191975,-0.272727272727273,-0.29682505,11.604631044096191,15.827551,17.933333333333334,0.5714285714285714,0.26666666666666666,0.36363636363636365,random,1,0.3,0.3,0.14
0.78,0.741391,0.0,-0.19432925,14.338490552387789,15.834982,18.2,1.0,0.26666666666666666,0.4210526315789474,gnn,1,0.3,0.3,0.16
0.74,0.72519743,-0.181818181818182,-0.26911572,10.92752329955854,15.050915,14.6,0.625,0.3333333333333333,0.43478260869565216,random,1,0.3,0.3,0.16
