method,metric,delta,lambda,rho,sim,graph,selected_sensor,p_inf_selected,cand_mean_p_inf,cand_std_p_inf,rank_in_candidates,neigh_mean_p_inf,neigh_std_p_inf,true_state_t0,entropy_selected,entropy_cand_mean,entropy_neigh_mean
sequential,ov,0.1,0.3,0.05333333333333334,0,rrg,151,0.09998374,0.1134884,0.05388393,11,0.099983655,1.0051383e-07,0,1.0955458,1.3371434,1.4210424
sequential,ov,0.1,0.3,0.056666666666666664,0,rrg,68,0.45369703,0.12589346,0.08073994,2,0.22327946,0.24826601,0,1.3657119,1.2010016,1.0147269
sequential,ov,0.1,0.3,0.06,0,rrg,273,0.09998377,0.102506705,0.029278355,5,0.09998373,3.3041175e-08,0,2.3765664,1.3489661,1.8836623
sequential,ov,0.1,0.3,0.06333333333333334,0,rrg,9,0.099983685,0.13204402,0.13385579,45,0.0999837,2.6516812e-08,0,0.3334381,1.29388,1.5855383
sequential,ov,0.1,0.3,0.06666666666666667,0,rrg,79,0.09998365,0.13049078,0.13024725,51,0.12889302,0.040884,0,1.3033053,1.3587743,0.7664213
sequential,ov,0.1,0.3,0.07,0,rrg,76,0.09998357,0.11009043,0.044614673,59,0.14307915,0.060946193,0,2.2216854,1.3123511,1.931883
sequential,ov,0.1,0.3,0.07333333333333333,0,rrg,259,0.09998373,0.12722327,0.12777735,11,0.09998372,4.3015946e-09,0,1.9160401,1.3597372,1.6007261
sequential,ov,0.1,0.3,0.07666666666666666,0,rrg,63,0.17501095,0.12059483,0.11610416,5,0.13418739,0.061995212,0,0.4680273,1.3266224,1.5761293
sequential,ov,0.1,0.3,0.08,0,rrg,48,0.09999184,0.120269395,0.07987911,43,0.09999186,6.083374e-09,0,0.32954267,1.3864185,1.924501
sequential,ov,0.1,0.3,0.08333333333333333,0,rrg,10,0.5119118,0.13120297,0.10236809,2,0.13731627,0.05278469,0,0.70540607,1.2771422,1.8917724
sequential,ov,0.1,0.3,0.08666666666666667,0,rrg,4,0.9895056,0.12630254,0.12815033,1,0.06682109,0.046899043,0,0.071003996,1.3729168,1.2340349
sequential,ov,0.1,0.3,0.09,0,rrg,53,0.09998371,0.11976656,0.11635053,37,0.099983685,4.572658e-08,0,0.78482777,1.4971043,1.3597151
sequential,ov,0.1,0.3,0.09333333333333334,0,rrg,125,0.099991776,0.103405096,0.032336004,54,0.09999176,3.131608e-08,0,2.1965735,1.3956178,1.4085585
sequential,ov,0.1,0.3,0.09666666666666666,0,rrg,113,0.09999186,0.120237246,0.066062845,21,0.36652902,0.44947106,1,2.053518,1.4469993,0.77775294
sequential,ov,0.1,0.3,0.1,0,rrg,29,0.9780286,0.13235568,0.12932749,1,0.06674429,0.047019158,0,0.10857822,1.2090906,1.4295729
sequential,ov,0.1,0.3,0.10333333333333333,0,rrg,281,0.09998373,0.108564,0.04992724,13,0.09998369,9.618658e-09,0,2.2126667,1.4630994,1.000805
sequential,ov,0.1,0.3,0.10666666666666667,0,rrg,88,0.270598,0.10633938,0.050235108,2,0.06668634,0.04708967,0,0.5920725,1.2173575,0.99591476
sequential,ov,0.1,0.3,0.11,0,rrg,152,0.099983744,0.11435097,0.115698785,6,0.09998369,2.4710781e-08,0,1.5738369,1.3762131,1.1611391
sequential,ov,0.1,0.3,0.11333333333333333,0,rrg,275,0.09999188,0.104963854,0.038859922,12,0.1228415,0.03231423,0,2.3675714,1.5922787,1.6733366
sequential,ov,0.1,0.3,0.11666666666666667,0,rrg,16,0.9717742,0.1322012,0.1359232,1,0.06707976,0.04654471,0,0.17340663,1.4454619,1.4517609
sequential,ov,0.1,0.3,0.12,0,rrg,158,0.19107649,0.09901285,0.031889506,2,0.11958756,0.10644351,0,1.34132,1.4054202,0.89264673
sequential,ov,0.1,0.3,0.12333333333333334,0,rrg,109,0.09998373,0.096701846,0.029197825,13,0.099983715,1.3602837e-08,0,1.7153412,1.4188445,0.5870988
