method,metric,delta,lambda,rho,sim,graph,selected_sensor,p_inf_selected,cand_mean_p_inf,cand_std_p_inf,rank_in_candidates,neigh_mean_p_inf,neigh_std_p_inf,true_state_t0,entropy_selected,entropy_cand_mean
sequential,ov,0.2,0.3,0.16666666666666666,1,rrg,2,0.19977215,0.19977215,0.0,1,0.16095918,0.054889783,0,0.965591,0.9655910134315491
sequential,ov,0.2,0.3,0.3333333333333333,1,rrg,5,0.19977215,0.19977215,0.0,1,0.11904669,0.08584105,1,0.6501974,0.6501973867416382
sequential,ov,0.2,0.3,0.5,1,rrg,1,0.4144872,0.4144872,0.0,1,0.13323568,0.09409676,0,0.8568787,0.8568786978721619
sequential,ov,0.2,0.3,0.6666666666666666,1,rrg,3,0.19977207,0.19977207,0.0,1,0.442978,0.3936121,0,0.6515677,0.6515676975250244
sequential,ov,0.2,0.3,0.8333333333333334,1,rrg,4,0.19977215,0.19977215,0.0,1,0.08735567,0.061654706,0,0.58934486,0.58934485912323
sequential,mov,0.2,0.3,0.0,1,rrg,0,0.1995442,0.1995442,0.0,1,0.19954427,2.7205674e-08,0,1.9296559,1.929655909538269
sequential,mov,0.2,0.3,0.16666666666666666,1,rrg,5,0.19977213,0.19977213,0.0,1,0.16095918,0.054889783,1,0.79282165,0.7928216457366943
sequential,mov,0.2,0.3,0.3333333333333333,1,rrg,1,0.19977197,0.19977197,0.0,1,0.19977212,4.2146848e-08,0,0.77829653,0.7782965302467346
sequential,mov,0.2,0.3,0.5,1,rrg,4,0.19977215,0.19977215,0.0,1,0.12214624,0.054889757,0,1.0025606,1.0025606155395508
sequential,mov,0.2,0.3,0.6666666666666666,1,rrg,3,0.05759843,0.05759843,0.0,1,0.3605686,0.45215702,0,0.73599684,0.7359968423843384
sequential,mov,0.2,0.3,0.8333333333333334,1,rrg,2,0.19977215,0.19977215,0.0,1,0.3882921,0.4312769,0,0.59625953,0.5962595343589783
sequential,c_mov,0.2,0.3,0.0,1,rrg,5,0.19954428,0.19954428,0.0,1,0.19954424,2.1073424e-08,1,0.41461235,0.414612352848053
sequential,c_mov,0.2,0.3,0.16666666666666666,1,rrg,0,0.19954425,0.19954425,0.0,1,0.4651692,0.37565038,0,1.611621,1.6116210222244263
sequential,c_mov,0.2,0.3,0.3333333333333333,1,rrg,1,0.19977197,0.19977197,0.0,1,0.19977212,4.2146848e-08,0,0.77829653,0.7782965302467346
sequential,c_mov,0.2,0.3,0.5,1,rrg,4,0.19977215,0.19977215,0.0,1,0.12214624,0.054889757,0,1.0025606,1.0025606155395508
sequential,c_mov,0.2,0.3,0.6666666666666666,1,rrg,2,0.19977215,0.19977215,0.0,1,0.3882921,0.4312769,0,0.6710711,0.6710711121559143
sequential,c_mov,0.2,0.3,0.8333333333333334,1,rrg,3,0.05759843,0.05759843,0.0,1,0.37644157,0.4428869,0,0.4063752,0.4063751995563507
sequential,ov,0.3,0.3,0.0,1,rrg,2,0.29915363,0.29915363,0.0,1,0.2991536,3.847463e-08,0,0.8945749,0.8945748805999756
sequential,ov,0.3,0.3,0.16666666666666666,1,rrg,5,0.29957682,0.29957682,0.0,1,0.41157666,0.15839164,0,0.3873306,0.3873305916786194
sequential,ov,0.3,0.3,0.3333333333333333,1,rrg,0,0.5918766,0.5918766,0.0,1,0.07791819,0.11008407,1,1.2543465,1.254346489906311
sequential,ov,0.3,0.3,0.5,1,rrg,3,0.21270819,0.21270819,0.0,1,0.14916466,0.21076347,0,0.49122572,0.4912257194519043
sequential,ov,0.3,0.3,0.6666666666666666,1,rrg,4,0.21243659,0.21243659,0.0,1,0.49550962,0.40797937,0,0.17359345,0.1735934466123581
sequential,ov,0.3,0.3,0.8333333333333334,1,rrg,1,0.44178912,0.44178912,0.0,1,5.793806e-05,2.2420694e-05,0,0.0035240839,0.0035240838769823313
sequential,mov,0.3,0.3,0.0,1,rrg,5,0.29915366,0.29915366,0.0,1,0.29915363,7.3000486e-08,0,0.4809048,0.48090478777885437
sequential,mov,0.3,0.3,0.16666666666666666,1,rrg,3,0.2786333,0.2786333,0.0,1,0.25010478,0.17904119,0,0.47249636,0.47249636054039
sequential,mov,0.3,0.3,0.3333333333333333,1,rrg,2,0.42114723,0.42114723,0.0,1,0.30439305,0.24614912,0,0.45371285,0.4537128508090973
sequential,mov,0.3,0.3,0.5,1,rrg,4,0.22256243,0.22256243,0.0,1,0.41356173,0.3031361,0,0.15721992,0.15721991658210754
sequential,mov,0.3,0.3,0.6666666666666666,1,rrg,1,0.75254565,0.75254565,0.0,1,0.0001480852,2.3037635e-05,0,0.0074331365,0.007433136459439993
sequential,mov,0.3,0.3,0.8333333333333334,1,rrg,0,0.92877924,0.92877924,0.0,1,0.00012235854,6.415884e-05,1,0.39360768,0.3936076760292053
sequential,c_mov,0.3,0.3,0.0,1,rrg,1,0.2991536,0.2991536,0.0,1,0.29915366,4.2146848e-08,0,1.0651805,1.0651805400848389
sequential,c_mov,0.3,0.3,0.16666666666666666,1,rrg,5,0.29915366,0.29915366,0.0,1,0.29915366,3.847463e-08,0,0.85070527,0.8507052659988403
sequential,c_mov,0.3,0.3,0.3333333333333333,1,rrg,2,0.35413942,0.35413942,0.0,1,0.2646139,0.13295051,0,0.98728853,0.9872885346412659
sequential,c_mov,0.3,0.3,0.5,1,rrg,3,0.22525795,0.22525795,0.0,1,0.08231605,0.11632031,0,0.67673224,0.6767322421073914
sequential,c_mov,0.3,0.3,0.6666666666666666,1,rrg,4,0.21952662,0.21952662,0.0,1,0.36559102,0.33860672,0,0.36855635,0.36855635046958923
sequential,c_mov,0.3,0.3,0.8333333333333334,1,rrg,0,0.92877924,0.92877924,0.0,1,0.00012235854,6.415884e-05,1,0.39360768,0.3936076760292053
sequential,ov,0.1,0.3,0.0,2,rrg,2,0.099983715,0.099983715,0.0,1,0.09998369,3.5471857e-08,0,0.6516942,0.6516941785812378
sequential,ov,0.1,0.3,0.16666666666666666,2,rrg,3,0.099967435,0.099967435,0.0,1,0.066690214,0.047061134,1,0.9294518,0.9294518232345581
sequential,ov,0.1,0.3,0.3333333333333333,2,rrg,4,0.09996744,0.09996744,0.0,1,0.066690214,0.047061134,0,0.42371383,0.4237138330936432
sequential,ov,0.1,0.3,0.5,2,rrg,5,0.09996745,0.09996745,0.0,1,0.6609513,0.46727532,0,0.08040288,0.08040288090705872
sequential,ov,0.1,0.3,0.6666666666666666,2,rrg,1,0.98104495,0.98104495,0.0,1,0.041245162,0.05801299,0,0.0144976815,0.014497681520879269
sequential,ov,0.1,0.3,0.8333333333333334,2,rrg,0,0.995304,0.995304,0.0,1,0.33287427,0.47046328,1,0.14354113,0.1435411274433136
sequential,mov,0.1,0.3,0.0,2,rrg,1,0.09998365,0.09998365,0.0,1,0.0999837,2.5809568e-08,0,0.7078871,0.7078871130943298
sequential,mov,0.1,0.3,0.16666666666666666,2,rrg,2,0.09999184,0.09999184,0.0,1,0.06668865,0.047097825,0,0.92778146,0.9277814626693726
sequential,mov,0.1,0.3,0.3333333333333333,2,rrg,4,0.099991865,0.099991865,0.0,1,0.37992236,0.4380577,0,0.84357625,0.8435762524604797
sequential,mov,0.1,0.3,0.5,2,rrg,5,0.09998373,0.09998373,0.0,1,0.033397797,0.047083367,0,0.4584447,0.4584447145462036
